"So Colissimo","So Colissimo"
"Nom du transporteur","Nom du transporteur"
"Nom du mode de livraison","Nom du mode de livraison"
"Nom du mode de livraison affiché dans le tunnel de commande à l'étape ""Mode de livraison"".","Nom du mode de livraison affiché dans le tunnel de commande à l'étape ""Mode de livraison""."
"Nom du mode de livraison (domicile)","Nom du mode de livraison (domicile)"
"Nom du mode de livraison une fois que l'internaute a choisi la livraison à domicile dans l'interface de So Colissimo.","Nom du mode de livraison une fois que l'internaute a choisi la livraison à domicile dans l'interface de So Colissimo."
"Nom du mode de livraison (rendez-vous)","Nom du mode de livraison (rendez-vous)"
"Nom du mode de livraison une fois que l'internaute a choisi la livraison sur rendez-vous dans l'interface de So Colissimo.","Nom du mode de livraison une fois que l'internaute a choisi la livraison sur rendez-vous dans l'interface de So Colissimo."
"Nom du mode de livraison (point de retrait commerçant)","Nom du mode de livraison (point de retrait commerçant)"
"Nom du mode de livraison une fois que l'internaute a choisi la livraison en point de retrait commerçant dans l'interface de So Colissimo.","Nom du mode de livraison une fois que l'internaute a choisi la livraison en point de retrait commerçant dans l'interface de So Colissimo."
"Nom du mode de livraison (bureau de poste)","Nom du mode de livraison (bureau de poste)"
"Nom du mode de livraison une fois que l'internaute a choisi la livraison en bureau de poste dans l'interface de So Colissimo.","Nom du mode de livraison une fois que l'internaute a choisi la livraison en bureau de poste dans l'interface de So Colissimo."
"Message lors de la sélection du mode de livraison","Message lors de la sélection du mode de livraison"
"Message lors de la redirection vers So Colissimo","Message lors de la redirection vers So Colissimo"
"Identifiant FO","Identifiant FO"
"Clé de cryptage","Clé de cryptage"
"URL de passerelle","URL de passerelle"
"Activer la vérification de la disponibilité","Activer la vérification de la disponibilité"
"URL de vérification de la disponibilité","URL de vérification de la disponibilité"
"Message en cas d'indisponibilité de la plateforme","Message en cas d'indisponibilité de la plateforme"
"Type des frais de livraison","Type des frais de livraison"
"Calcul des frais de livraison","Calcul des frais de livraison"
"Il s’agit des frais d’expédition appliqués par défaut pour tous les modes de livraison en France.<br/>Si <strong>tarif unique</strong>, indiquer le montant (sans devise) ;<br />Si <strong>tarif selon le poids</strong>, indiquer :<br />{""poids en kg"": ""tarif1"", ""poids en kg"": ""tarif2"", ...}<br />Le tarif est appliqué pour un poids supérieur ou égal au poids correspondant.<br />Exemple de conditions tarifaires selon le poids :<br/>{""0"": ""2.90"", ""0.5"": ""4.50"", ""5"": ""8"", ""10"": ""14""}<br/>Si <strong>tarif selon le sous-total du panier</strong>, indiquer :<br />{""montant"": ""tarif1"", ""montant"": ""tarif2"", ...}<br />Le tarif est appliqué pour un montant supérieur ou égal au montant correspondant.<br />Exemple de conditions tarifaires selon le montant :<br />{""0"": ""3"", ""50"": ""5"", ""100"": ""8"", ""250"": ""0""}","Il s’agit des frais d’expédition appliqués par défaut pour tous les modes de livraison en France.<br/>Si <strong>tarif unique</strong>, indiquer le montant (sans devise) ;<br />Si <strong>tarif selon le poids</strong>, indiquer :<br />{""poids en kg"": ""tarif1"", ""poids en kg"": ""tarif2"", ...}<br />Le tarif est appliqué pour un poids supérieur ou égal au poids correspondant.<br />Exemple de conditions tarifaires selon le poids :<br/>{""0"": ""2.90"", ""0.5"": ""4.50"", ""5"": ""8"", ""10"": ""14""}<br/>Si <strong>tarif selon le sous-total du panier</strong>, indiquer :<br />{""montant"": ""tarif1"", ""montant"": ""tarif2"", ...}<br />Le tarif est appliqué pour un montant supérieur ou égal au montant correspondant.<br />Exemple de conditions tarifaires selon le montant :<br />{""0"": ""3"", ""50"": ""5"", ""100"": ""8"", ""250"": ""0""}"
"Type des frais de livraison commerçants","Type des frais de livraison commerçants"
"Il s'agit des frais d'expédition appliqués pour la livraison en point de retrait commerçant.<br />Le fonctionnement est identique au paramètre ""Calcul des frais de livraison"".<br />Laisser vide pour ne pas appliquer de tarif spécifique à la livraison en point de retrait commerçant.","Il s'agit des frais d'expédition appliqués pour la livraison en point de retrait commerçant.<br />Le fonctionnement est identique au paramètre ""Calcul des frais de livraison"".<br />Laisser vide pour ne pas appliquer de tarif spécifique à la livraison en point de retrait commerçant."
"Livraison offerte à partir de (en €)","Livraison offerte à partir de (en €)"
"Laisser vide pour ne pas offrir les frais de livraison.","Laisser vide pour ne pas offrir les frais de livraison."
"Format des frais de livraison","Format des frais de livraison"
"Format du tarif du mode de livraison So Colissimo, à l'étape de livraison du tunnel de commande.<br />Laisser vide pour garder l'affichage natif de Magento.<br />Le tarif est représenté par ""%s"".<br />Exemple : avec une valeur ""(à partir de %s)"" et des frais de livraison de 10€, le prix affiché dans le tunnel de commande sera ""(à partir de 10€)"".","Format du tarif du mode de livraison So Colissimo, à l'étape de livraison du tunnel de commande.<br />Laisser vide pour garder l'affichage natif de Magento.<br />Le tarif est représenté par ""%s"".<br />Exemple : avec une valeur ""(à partir de %s)"" et des frais de livraison de 10€, le prix affiché dans le tunnel de commande sera ""(à partir de 10€)""."
"Limite de poids","Limite de poids"
"So Colissimo ne sera pas proposé si le poids dépasse le montant saisi.","So Colissimo ne sera pas proposé si le poids dépasse le montant saisi."
"Les pays compatibles sont la France et la Belgique.","Les pays compatibles sont la France et la Belgique."

"Tarif unique","Tarif unique"
"Tarif selon poids","Tarif selon poids"
"Tarif selon sous-total du panier","Tarif selon sous-total du panier"

"Interphone :","Interphone :"
"Code porte :","Code porte :"
"Code porte 2 :","Code porte 2 :"

"Une erreur technique a été rencontrée","Une erreur technique a été rencontrée"
"Merci de soumettre votre commande ultérieurement","Merci de soumettre votre commande ultérieurement"

"Les options du lieu de livraison ne sont pas disponibles.<br />Le colis sera livré à votre adresse de livraison.","Les options du lieu de livraison ne sont pas disponibles.<br />Le colis sera livré à votre adresse de livraison."
"La page va se mettre à jour à l'étape suivante.","La page va se mettre à jour à l'étape suivante."

"Annuler So Colissimo","Annuler So Colissimo"

"Identifiant FO manquant","Identifiant FO manquant"
"Identifiant FO incorrect","Identifiant FO incorrect"
"Client non autorisé","Client non autorisé"
"Champs obligatoire manquant","Champs obligatoire manquant"
"Signature manquante","Signature manquante"
"Signature invalide","Signature invalide"
"Code postal invalide","Code postal invalide"
"Format url retour Validation incorrect","Format url retour Validation incorrect"
"Format url retour Echec incorrect","Format url retour Echec incorrect"
"Numéro de transaction non valide","Numéro de transaction non valide"
"Format des frais d’expédition incorrect","Format des frais d’expédition incorrect"
"Serveur applicatif non disponible","Serveur applicatif non disponible"
"SGBD non disponible","SGBD non disponible"
"Erreur non identifiée","Erreur non identifiée"

"SoColissimo : la signature retournée par colissimo est vide","SoColissimo : la signature retournée par colissimo est vide"
"SoColissimo : la transaction avec colissimo (id=""%s"") n'est pas valide car inconnue de Magento","SoColissimo : la transaction avec colissimo (id=""%s"") n'est pas valide car inconnue de Magento"
"SoColissimo : la valeur de configuration ""Calcul des frais de livraison"" fournie ""%s"" doit être un numérique de la forme 5.50","SoColissimo : la valeur de configuration ""Calcul des frais de livraison"" fournie ""%s"" doit être un numérique de la forme 5.50"
"SoColissimo : la valeur de configuration ""Calcul des frais de livraison"" pour le type ""tarif selon le poids"" fournie ""%s"" n'est pas dans le bon format, exemple {""0"":""2.90"",""0.5"":""4.50"",""5"":""8"",""10"":""14""}","SoColissimo : la valeur de configuration ""Calcul des frais de livraison"" pour le type ""tarif selon le poids"" fournie ""%s"" n'est pas dans le bon format, exemple {""0"":""2.90"",""0.5"":""4.50"",""5"":""8"",""10"":""14""}"
"SoColissimo : la valeur de configuration ""Calcul des frais de livraison"" pour le type ""tarif selon le sous-total"" fournie ""%s"" n'est pas dans le bon format, exemple {""0"":""3"",""50"":""5"",""100"":""8"",""250"":""0""}","SoColissimo : la valeur de configuration ""Calcul des frais de livraison"" pour le type ""tarif selon le sous-total"" fournie ""%s"" n'est pas dans le bon format, exemple {""0"":""3"",""50"":""5"",""100"":""8"",""250"":""0""}"
"SoColissimo : la valeur de configuration ""Type des frais de livraison"" fournie ""%s"" n'est pas disponible","SoColissimo : la valeur de configuration ""Type des frais de livraison"" fournie ""%s"" n'est pas disponible"
